X;CH1;CH2;Start;Increment;;X;CH1;CH2;Start;Increment;;X;CH1;CH2;Start;Increment;;
Sequence;Volt;Volt;-3,50E-03;5,00E-06;;Sequence;Volt;Volt;-3,50E-03;5,00E-06;;Sequence;Volt;Volt;-3,50E-03;5,00E-06;;
0;1,48E+00;1,44E+00;;;;0;-1,48E+00;-1,32E+00;;;;0;-8,40E-01;3,60E-01;;;;
1;1,56E+00;1,52E+00;;;;1;-1,40E+00;-1,36E+00;;;;1;-9,60E-01;2,00E-01;;;;
2;1,48E+00;1,44E+00;;;;2;-1,48E+00;-1,32E+00;;;;2;-8,40E-01;3,60E-01;;;;
3;1,56E+00;1,52E+00;;;;3;-1,40E+00;-1,36E+00;;;;3;-9,60E-01;2,00E-01;;;;
4;1,48E+00;1,44E+00;;;;4;-1,48E+00;-1,32E+00;;;;4;-8,80E-01;2,40E-01;;;;
5;1,56E+00;1,52E+00;;;;5;-1,40E+00;-1,36E+00;;;;5;-1,00E+00;1,20E-01;;;;
6;1,56E+00;1,52E+00;;;;6;-1,48E+00;-1,36E+00;;;;6;-9,20E-01;1,20E-01;;;;
7;1,48E+00;1,44E+00;MENOR A LA ORIGINAL;;;7;-1,40E+00;-1,32E+00;SIMILAR A LA ORIGINAL;;;7;-1,04E+00;0,00E+00;SUPERIOR A LA ORIGINAL;;;(A LA FRECUENCIA ANGULAR CRÖTICA DEL CIRCUITO EN PASA BAJO)
8;1,56E+00;1,52E+00;;;;8;-1,48E+00;-1,32E+00;;;;8;-9,60E-01;0,00E+00;;;;
9;1,48E+00;1,44E+00;;;;9;-1,40E+00;-1,40E+00;;;;9;-1,04E+00;-1,20E-01;;;;
10;1,56E+00;1,52E+00;;;;10;-1,44E+00;-1,40E+00;;;;10;-1,00E+00;-8,00E-02;;;;
11;1,48E+00;1,48E+00;;;;11;-1,48E+00;-1,32E+00;;;;11;-1,08E+00;-2,00E-01;;;;
12;1,56E+00;1,48E+00;;;;12;-1,44E+00;-1,40E+00;;;;12;-1,04E+00;-1,60E-01;;;;
13;1,48E+00;1,52E+00;;;;13;-1,48E+00;-1,32E+00;;;;13;-1,12E+00;-2,80E-01;;;;
14;1,56E+00;1,48E+00;;;;14;-1,48E+00;-1,40E+00;;;;14;-1,12E+00;-2,40E-01;;;;
15;1,48E+00;1,56E+00;;;;15;-1,44E+00;-1,36E+00;;;;15;-1,04E+00;-3,60E-01;;;;
16;1,56E+00;1,48E+00;;;;16;-1,44E+00;-1,36E+00;;;;16;-1,16E+00;-3,20E-01;;;;
17;1,48E+00;1,56E+00;;;;17;-1,48E+00;-1,40E+00;;;;17;-1,08E+00;-4,40E-01;;;;
18;1,56E+00;1,56E+00;;;;18;-1,44E+00;-1,40E+00;;;;18;-1,12E+00;-4,00E-01;;;;
19;1,48E+00;1,48E+00;;;;19;-1,48E+00;-1,36E+00;;;;19;-1,20E+00;-5,20E-01;;;;
20;1,56E+00;1,56E+00;;;;20;-1,44E+00;-1,36E+00;;;;20;-1,12E+00;-4,40E-01;;;;
21;1,48E+00;1,48E+00;;;;21;-1,48E+00;-1,44E+00;;;;21;-1,20E+00;-5,60E-01;;;;
22;1,56E+00;1,56E+00;;;;22;-1,44E+00;-1,44E+00;;;;22;-1,16E+00;-5,20E-01;;;;
23;1,52E+00;1,48E+00;;;;23;-1,48E+00;-1,36E+00;;;;23;-1,20E+00;-6,40E-01;;;;
24;1,52E+00;1,56E+00;;;;24;-1,48E+00;-1,36E+00;;;;24;-1,16E+00;-6,00E-01;;;;
25;1,56E+00;1,48E+00;;;;25;-1,44E+00;-1,44E+00;;;;25;-1,24E+00;-6,80E-01;;;;
26;1,56E+00;1,56E+00;;;;26;-1,48E+00;-1,44E+00;;;;26;-1,24E+00;-6,40E-01;;;;
27;1,52E+00;1,48E+00;;;;27;-1,44E+00;-1,36E+00;;;;27;-1,16E+00;-7,20E-01;;;;
28;1,56E+00;1,56E+00;;;;28;-1,44E+00;-1,44E+00;;;;28;-1,20E+00;-6,80E-01;;;;
29;1,48E+00;1,48E+00;;;;29;-1,52E+00;-1,36E+00;;;;29;-1,28E+00;-7,60E-01;;;;
30;1,56E+00;1,56E+00;;;;30;-1,48E+00;-1,44E+00;;;;30;-1,24E+00;-7,60E-01;;;;
31;1,52E+00;1,52E+00;;;;31;-1,44E+00;-1,36E+00;;;;31;-1,32E+00;-8,00E-01;;;;
32;1,56E+00;1,52E+00;;;;32;-1,44E+00;-1,44E+00;;;;32;-1,28E+00;-8,00E-01;;;;
33;1,52E+00;1,56E+00;;;;33;-1,52E+00;-1,36E+00;;;;33;-1,24E+00;-8,80E-01;;;;
34;1,52E+00;1,56E+00;;;;34;-1,48E+00;-1,44E+00;;;;34;-1,32E+00;-8,40E-01;;;;
35;1,56E+00;1,52E+00;;;;35;-1,44E+00;-1,36E+00;;;;35;-1,24E+00;-9,20E-01;;;;
36;1,52E+00;1,56E+00;;;;36;-1,44E+00;-1,40E+00;;;;36;-1,32E+00;-8,80E-01;;;;
37;1,60E+00;1,52E+00;;;;37;-1,48E+00;-1,44E+00;;;;37;-1,28E+00;-9,60E-01;;;;
38;1,56E+00;1,52E+00;;;;38;-1,44E+00;-1,44E+00;;;;38;-1,32E+00;-9,20E-01;;;;
39;1,48E+00;1,60E+00;;;;39;-1,52E+00;-1,36E+00;;;;39;-1,28E+00;-9,60E-01;;;;
40;1,56E+00;1,52E+00;;;;40;-1,48E+00;-1,44E+00;;;;40;-1,36E+00;-9,20E-01;;;;
41;1,52E+00;1,60E+00;;;;41;-1,44E+00;-1,40E+00;;;;41;-1,28E+00;-1,00E+00;;;;
42;1,52E+00;1,52E+00;;;;42;-1,44E+00;-1,44E+00;;;;42;-1,36E+00;-1,00E+00;;;;
43;1,60E+00;1,60E+00;;;;43;-1,52E+00;-1,40E+00;;;;43;-1,28E+00;-1,04E+00;;;;
44;1,56E+00;1,52E+00;;;;44;-1,44E+00;-1,40E+00;;;;44;-1,32E+00;-1,00E+00;;;;
45;1,52E+00;1,60E+00;;;;45;-1,52E+00;-1,48E+00;;;;45;-1,36E+00;-1,08E+00;;;;
46;1,52E+00;1,52E+00;;;;46;-1,44E+00;-1,44E+00;;;;46;-1,32E+00;-1,08E+00;;;;
47;1,56E+00;1,60E+00;;;;47;-1,52E+00;-1,40E+00;;;;47;-1,40E+00;-1,04E+00;;;;
48;1,56E+00;1,56E+00;;;;48;-1,44E+00;-1,40E+00;;;;48;-1,32E+00;-1,12E+00;;;;
49;1,52E+00;1,52E+00;;;;49;-1,52E+00;-1,48E+00;;;;49;-1,40E+00;-1,04E+00;;;;
50;1,52E+00;1,60E+00;;;;50;-1,44E+00;-1,40E+00;;;;50;-1,32E+00;-1,08E+00;;;;
51;1,60E+00;1,52E+00;;;;51;-1,52E+00;-1,48E+00;;;;51;-1,40E+00;-1,16E+00;;;;
52;1,52E+00;1,52E+00;;;;52;-1,44E+00;-1,40E+00;;;;52;-1,36E+00;-1,16E+00;;;;
53;1,60E+00;1,60E+00;;;;53;-1,52E+00;-1,48E+00;;;;53;-1,40E+00;-1,12E+00;;;;
54;1,56E+00;1,52E+00;;;;54;-1,44E+00;-1,40E+00;;;;54;-1,40E+00;-1,12E+00;;;;
55;1,52E+00;1,60E+00;;;;55;-1,52E+00;-1,48E+00;;;;55;-1,36E+00;-1,20E+00;;;;
56;1,56E+00;1,52E+00;;;;56;-1,52E+00;-1,40E+00;;;;56;-1,36E+00;-1,16E+00;;;;
57;1,52E+00;1,60E+00;;;;57;-1,44E+00;-1,48E+00;;;;57;-1,44E+00;-1,20E+00;;;;
58;1,52E+00;1,52E+00;;;;58;-1,44E+00;-1,40E+00;;;;58;-1,36E+00;-1,16E+00;;;;
59;1,60E+00;1,60E+00;;;;59;-1,52E+00;-1,48E+00;;;;59;-1,44E+00;-1,24E+00;;;;
60;1,52E+00;1,60E+00;;;;60;-1,52E+00;-1,48E+00;;;;60;-1,44E+00;-1,20E+00;;;;
61;1,60E+00;1,52E+00;;;;61;-1,44E+00;-1,40E+00;;;;61;-1,36E+00;-1,24E+00;;;;
62;1,52E+00;1,52E+00;;;;62;-1,52E+00;-1,40E+00;;;;62;-1,44E+00;-1,20E+00;;;;
63;1,60E+00;1,60E+00;;;;63;-1,44E+00;-1,48E+00;;;;63;-1,36E+00;-1,28E+00;;;;
64;1,52E+00;1,60E+00;;;;64;-1,44E+00;-1,48E+00;;;;64;-1,44E+00;-1,20E+00;;;;
65;1,60E+00;1,52E+00;;;;65;-1,52E+00;-1,40E+00;;;;65;-1,40E+00;-1,28E+00;;;;
66;1,52E+00;1,60E+00;;;;66;-1,52E+00;-1,44E+00;;;;66;-1,40E+00;-1,28E+00;;;;
67;1,60E+00;1,52E+00;;;;67;6,40E-01;-1,12E+00;;;;67;-1,48E+00;-1,24E+00;;;;
68;1,52E+00;1,60E+00;;;;68;6,00E-01;-1,24E+00;;;;68;-1,44E+00;-1,24E+00;;;;
69;1,60E+00;1,52E+00;;;;69;6,80E-01;-1,04E+00;;;;69;-1,40E+00;-1,32E+00;;;;
70;1,52E+00;1,60E+00;;;;70;6,40E-01;-1,08E+00;;;;70;-1,44E+00;-1,32E+00;;;;
71;1,60E+00;1,52E+00;;;;71;7,60E-01;-8,80E-01;;;;71;-1,40E+00;-1,24E+00;;;;
72;1,52E+00;1,60E+00;;;;72;7,20E-01;-8,80E-01;;;;72;-1,40E+00;-1,32E+00;;;;
73;1,60E+00;1,52E+00;;;;73;8,00E-01;-7,20E-01;;;;73;-1,48E+00;-1,24E+00;;;;
74;1,52E+00;1,60E+00;;;;74;7,60E-01;-7,20E-01;;;;74;-1,40E+00;-1,32E+00;;;;
